dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
1/6/2020;6;Afghanistan;Asia;680;8; 64.83 ; 41128772.0 
31/5/2020;5;Afghanistan;Asia;866;3; 64.83 ; 41128772.0 
30/5/2020;5;Afghanistan;Asia;623;11; 64.83 ; 41128772.0 
29/5/2020;5;Afghanistan;Asia;580;8; 64.83 ; 41128772.0 
28/5/2020;5;Afghanistan;Asia;625;7; 64.83 ; 41128772.0 
27/5/2020;5;Afghanistan;Asia;658;1; 64.83 ; 41128772.0 
26/5/2020;5;Afghanistan;Asia;591;1; 64.83 ; 41128772.0 
25/5/2020;5;Afghanistan;Asia;584;2; 64.83 ; 41128772.0 
24/5/2020;5;Afghanistan;Asia;782;11; 64.83 ; 41128772.0 
23/5/2020;5;Afghanistan;Asia;540;12; 64.83 ; 41128772.0 
22/5/2020;5;Afghanistan;Asia;531;6; 64.83 ; 41128772.0 
21/5/2020;5;Afghanistan;Asia;492;9; 64.83 ; 41128772.0 
20/5/2020;5;Afghanistan;Asia;581;5; 64.83 ; 41128772.0 
19/5/2020;5;Afghanistan;Asia;408;4; 64.83 ; 41128772.0 
18/5/2020;5;Afghanistan;Asia;262;1; 64.83 ; 41128772.0 
17/5/2020;5;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
16/5/2020;5;Afghanistan;Asia;1063;32; 64.83 ; 41128772.0 
15/5/2020;5;Afghanistan;Asia;113;6; 64.83 ; 41128772.0 
14/5/2020;5;Afghanistan;Asia;259;3; 64.83 ; 41128772.0 
13/5/2020;5;Afghanistan;Asia;280;5; 64.83 ; 41128772.0 
12/5/2020;5;Afghanistan;Asia;285;2; 64.83 ; 41128772.0 
11/5/2020;5;Afghanistan;Asia;369;5; 64.83 ; 41128772.0 
10/5/2020;5;Afghanistan;Asia;255;6; 64.83 ; 41128772.0 
9/5/2020;5;Afghanistan;Asia;215;3; 64.83 ; 41128772.0 
8/5/2020;5;Afghanistan;Asia;171;2; 64.83 ; 41128772.0 
7/5/2020;5;Afghanistan;Asia;168;9; 64.83 ; 41128772.0 
6/5/2020;5;Afghanistan;Asia;330;5; 64.83 ; 41128772.0 
5/5/2020;5;Afghanistan;Asia;190;5; 64.83 ; 41128772.0 
4/5/2020;5;Afghanistan;Asia;235;13; 64.83 ; 41128772.0 
3/5/2020;5;Afghanistan;Asia;134;4; 64.83 ; 41128772.0 
2/5/2020;5;Afghanistan;Asia;164;4; 64.83 ; 41128772.0 
1/5/2020;5;Afghanistan;Asia;222;4; 64.83 ; 41128772.0 
30/4/2020;4;Afghanistan;Asia;122;0; 64.83 ; 41128772.0 
29/4/2020;4;Afghanistan;Asia;124;3; 64.83 ; 41128772.0 
28/4/2020;4;Afghanistan;Asia;172;0; 64.83 ; 41128772.0 
27/4/2020;4;Afghanistan;Asia;68;10; 64.83 ; 41128772.0 
26/4/2020;4;Afghanistan;Asia;112;4; 64.83 ; 41128772.0 
25/4/2020;4;Afghanistan;Asia;70;1; 64.83 ; 41128772.0 
24/4/2020;4;Afghanistan;Asia;105;2; 64.83 ; 41128772.0 
23/4/2020;4;Afghanistan;Asia;84;4; 64.83 ; 41128772.0 
22/4/2020;4;Afghanistan;Asia;61;1; 64.83 ; 41128772.0 
21/4/2020;4;Afghanistan;Asia;35;2; 64.83 ; 41128772.0 
20/4/2020;4;Afghanistan;Asia;88;3; 64.83 ; 41128772.0 
19/4/2020;4;Afghanistan;Asia;63;0; 64.83 ; 41128772.0 
18/4/2020;4;Afghanistan;Asia;51;1; 64.83 ; 41128772.0 
17/4/2020;4;Afghanistan;Asia;10;4; 64.83 ; 41128772.0 
16/4/2020;4;Afghanistan;Asia;70;2; 64.83 ; 41128772.0 
15/4/2020;4;Afghanistan;Asia;49;2; 64.83 ; 41128772.0 
14/4/2020;4;Afghanistan;Asia;58;3; 64.83 ; 41128772.0 
13/4/2020;4;Afghanistan;Asia;52;0; 64.83 ; 41128772.0 
12/4/2020;4;Afghanistan;Asia;34;3; 64.83 ; 41128772.0 
11/4/2020;4;Afghanistan;Asia;37;0; 64.83 ; 41128772.0 
10/4/2020;4;Afghanistan;Asia;61;1; 64.83 ; 41128772.0 
9/4/2020;4;Afghanistan;Asia;56;3; 64.83 ; 41128772.0 
8/4/2020;4;Afghanistan;Asia;30;4; 64.83 ; 41128772.0 
7/4/2020;4;Afghanistan;Asia;38;0; 64.83 ; 41128772.0 
6/4/2020;4;Afghanistan;Asia;29;2; 64.83 ; 41128772.0 
5/4/2020;4;Afghanistan;Asia;35;1; 64.83 ; 41128772.0 
4/4/2020;4;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
3/4/2020;4;Afghanistan;Asia;43;0; 64.83 ; 41128772.0 
2/4/2020;4;Afghanistan;Asia;26;0; 64.83 ; 41128772.0 
1/4/2020;4;Afghanistan;Asia;25;0; 64.83 ; 41128772.0 
31/3/2020;3;Afghanistan;Asia;27;0; 64.83 ; 41128772.0 
30/3/2020;3;Afghanistan;Asia;8;1; 64.83 ; 41128772.0 
29/3/2020;3;Afghanistan;Asia;15;1; 64.83 ; 41128772.0 
28/3/2020;3;Afghanistan;Asia;16;1; 64.83 ; 41128772.0 
27/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
26/3/2020;3;Afghanistan;Asia;33;0; 64.83 ; 41128772.0 
25/3/2020;3;Afghanistan;Asia;2;0; 64.83 ; 41128772.0 
24/3/2020;3;Afghanistan;Asia;6;1; 64.83 ; 41128772.0 
23/3/2020;3;Afghanistan;Asia;10;0; 64.83 ; 41128772.0 
22/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
21/3/2020;3;Afghanistan;Asia;2;0; 64.83 ; 41128772.0 
20/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
19/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
18/3/2020;3;Afghanistan;Asia;1;0; 64.83 ; 41128772.0 
17/3/2020;3;Afghanistan;Asia;5;0; 64.83 ; 41128772.0 
16/3/2020;3;Afghanistan;Asia;6;0; 64.83 ; 41128772.0 
15/3/2020;3;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
11/3/2020;3;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
